Name,count_of_Earthquakes
COLOMBIA-ECUADOR,3
S. JAVA SEA,3
KASHIMA,3
THE NETHERLANDS,3
NORTHERN MARIANA ISLANDS,3
UGANDA,3
THAILAND,3
SAMOA,2
SAINT LUCIA,2
TOGO,2
VIETNAM,2
PERU-CHILE,2
SLOVAKIA,2
PERU-BRAZIL,2
PANAMA-COLOMBIA,2
W. HOKKAIDO ISLAND,2
W. LUZON ISLAND,2
SCOTIA SEA,2
N. MEXICO,2
N. NEW ZEALAND,2
NORTH KOREA,2
WYOMING,2
W. SOLOMON SEA,2
ZAMBIA,2
EL SALVADOR-GUATEMALA,2
COTE D'IVOIRE,2
CAMEROON,2
INDIA-BANGLADESH,2
IDAHO,2
BRITISH COLUMBIA,2
IWATE,2
JAPAN TRENCH,2
BOSO,2
CHILE-ARGENTINA,2
JORDAN,2
KENTUCKY,2
BOLIVIA-NORTHERN CHILE,2
COLORADO,2
INDIA-CHINA,2
GREECE-BULGARIA,2
CANARY ISLANDS,2
ARKANSAS,2
AFGHANISTAN-TAJIKISTAN,2
CYPRUS,2
FLORES SEA,2
LEBANON,2
LEBANON-SYRIA,2
SIERRA LEONE,1
TOBAGO,1
E. LUZON ISLAND,1
TIMOR SEA,1
SLOVENIA,1
CASCADIA SUBDUCTION ZONE,1
E. HOKKAIDO ISLAND,1
CENTRAL AFRICAN REPUBLIC,1
TEXAS,1
TASMAN SEA,1
E. AWA,1
SOUTH CAROLINA,1
SW. KYUSHU ISLAND,1
DJIBOUTI,1
CZECH REPUBLIC,1
COLOMBIA-PANAMA,1
TAIWAN REGION,1
SRI LANKA,1
CONNECTICUT,1
COSTA RICA-NICARAGUA,1
COMOROS,1
TRINIDAD & ST. CHRISTOPHER,1
CALIFORNIA-NEVADA,1
BURUNDI,1
ALABAMA,1
YELLOW SEA,1
YAYesSHIRO,1
ANATAHAN REGION,1
WASHINGTON-OREGON BORDER,1
ANTARCTICA,1
ANTIGUA,1
ANTIGUA AND BARBUDA,1
W. KYUSHU ISLAND,1
ANTIGUA ISLAND & ST. CHRISTOPHER,1
VIRGINIA,1
ARMENIA-AZERBAIJAN-IRAN,1
VENEZUELA-N COLOMBIA,1
BALKANS,1
BALLENY ISLANDS,1
BARBADOS,1
BELGIUM,1
BERING SEA,1
URUGUAY,1
BOLIVIA-PERU,1
UK,1
BOSNIA-HERZEGOVINA,1
TURKEY-CIS,1
BOSTON AND SALEM,1
SEIONAIKAI,1
BRITISH VIRGIN ISLANDS,1
TOYAMA PREF.,1
SHINANO,1
MEXICO-GUATEMALA,1
SEIKAIDO-NANKAIDO,1
NEMURO,1
NW. HOKKAIDO ISLAND,1
NOSHIRO,1
NORWAY,1
NORTH CORINTH GULF,1
NORTH ATLANTIC RIDGE,1
JAVA-S. JAVA SEA,1
NEW JERSEY,1
NEW HAMPSHIRE,1
KENYA,1
NEVADA-CALIFORNIA BORDER,1
KIRIBATI,1
KOORI,1
LAKE ERIE (GREAT LAKES),1
NE. HOKKAIDO ISLAND,1
E. SPORADES ISLANDS,1
N. SANRIKU,1
LAOS,1
LARA,1
MYNAMAR (BURMA),1
MYANMAR (BURMA) COAST,1
LHOKNGA,1
LIBYA,1
MONTSERRAT,1
MONTENEGRO,1
MADAGASCAR,1
MIYAKOJIMA,1
MARTINIQUE & BARBADOS,1
MINDANAO ISLAND,1
NW. HONSHU ISLAND,1
OFF COAST SW AVALON PENINSULA,1
ITALY-BALKANS NW,1
OREGON,1
SEA OF JAPAN,1
SE. NEW ZEALAND,1
EAST PACIFIC RIDGE,1
MASSACHUSETTS,1
ENSHUNADA,1
ERITREA,1
FIJI,1
SAINT VINCENT,1
FRENCH GUIANA,1
FRENCH POLYNESIA,1
FUTUNA ISLAND,1
GABON,1
GISBORNE,1
GREECE-BULGARIA BORDER REGION,1
GRENADA,1
GRFECE,1
GUINEA,1
GULF OF MEXICO,1
HONDURAS-GUATEMALA-EL SALVADOR,1
HONSHU ISLAND,1
PERU-BOLIVIA,1
IBARAKI,1
ILLINOIS,1
INDIA-BANGLADESH BORDER,1
PAKISTAN-NW AFGHANISTAN,1
INDONESIA-MALAYSIA,1
PACIFIC OCEAN,1
MACQUARIE ISLAND,1
